Adult2OtherChild,Adult2Others,Adult2TargetChild,Adult2unsure,Adultfemale,Adultmale,Childvoc,Media,Multiple_adults,Otherchild2OtherChild,Otherchild2TargetChild,Otherchild2adults,Otherchild2unsure,PID,Unsure_adults,age_YYMMDD,annotate_date_YYYYMMDD,annotator,beginoptions,comments,date_YYYYMMDD,file_name,gender,id,outdir,percents_voc,repeats,researcher_present,sleeping,timestamp_HHMMSS,Childsleep
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,24:44.4,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_1577.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0,0,0,1,13:08:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,24:46.1,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_0567.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0,0,0,1,04:43:30,
Categorize language to other child(ren),Spanish,Spanish,Categorize language to someone unknown,1,0,1,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,25:35.7,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_0987.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0.374333333,0,0,0,08:13:30,
Categorize language to other child(ren),Spanish,Categorize language to target child,Categorize language to someone unknown,0,0,1,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,26:47.9,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_0985.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0.394666667,1,0,0,08:12:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,26:49.6,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_0585.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0,0,0,1,04:52:30,
Categorize language to other child(ren),Spanish,Categorize language to target child,Categorize language to someone unknown,0,0,1,Spanish,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,28:54.2,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_1267.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0.232,1,0,0,10:33:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,28:56.4,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_1756.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0.627666667,0,0,1,14:38:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,28:58.1,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_0079.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0,0,0,1,00:39:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Spanish,0,0,1,Unsure,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,30:58.0,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_1305.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0.08,2,0,0,10:52:30,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,1/1/13,30:59.8,Anele,Categorize clip,,1/1/14,267-12mo_01-01-2013_1689.wav,male,267-12mo,/Volumes/cll/NYU LENA Project/Recordings/12-mo recordings/267 output,0.431,0,0,1,14:04:30,
