file_name,id,age_YYMMDD,date_YYYYMMDD,gender,timestamp_HHMMSS,percents_voc,researcher_present,sleeping
267-12mo_01-01-2013_0188.wav,267-12mo,1/1/13,1/1/14,male,01:34:00,0,0,1
267-12mo_01-01-2013_0189.wav,267-12mo,1/1/13,1/1/14,male,01:34:30,0,0,1
267-12mo_01-01-2013_0190.wav,267-12mo,1/1/13,1/1/14,male,01:35:00,0,0,1
267-12mo_01-01-2013_0191.wav,267-12mo,1/1/13,1/1/14,male,01:35:30,0,0,1
267-12mo_01-01-2013_0192.wav,267-12mo,1/1/13,1/1/14,male,01:36:00,0,0,1
267-12mo_01-01-2013_0193.wav,267-12mo,1/1/13,1/1/14,male,01:36:30,0,0,1
267-12mo_01-01-2013_0194.wav,267-12mo,1/1/13,1/1/14,male,01:37:00,0,0,1
267-12mo_01-01-2013_0195.wav,267-12mo,1/1/13,1/1/14,male,01:37:30,0,0,1
267-12mo_01-01-2013_0196.wav,267-12mo,1/1/13,1/1/14,male,01:38:00,0,0,1
267-12mo_01-01-2013_0197.wav,267-12mo,1/1/13,1/1/14,male,01:38:30,0,0,1
267-12mo_01-01-2013_0198.wav,267-12mo,1/1/13,1/1/14,male,01:39:00,0,0,1
267-12mo_01-01-2013_0199.wav,267-12mo,1/1/13,1/1/14,male,01:39:30,0,0,1
267-12mo_01-01-2013_0200.wav,267-12mo,1/1/13,1/1/14,male,01:40:00,0,0,1
267-12mo_01-01-2013_0201.wav,267-12mo,1/1/13,1/1/14,male,01:40:30,0,0,1
267-12mo_01-01-2013_0202.wav,267-12mo,1/1/13,1/1/14,male,01:41:00,0,0,1
267-12mo_01-01-2013_0203.wav,267-12mo,1/1/13,1/1/14,male,01:41:30,0,0,1
267-12mo_01-01-2013_0204.wav,267-12mo,1/1/13,1/1/14,male,01:42:00,0,0,1
267-12mo_01-01-2013_0205.wav,267-12mo,1/1/13,1/1/14,male,01:42:30,0,0,1
267-12mo_01-01-2013_0206.wav,267-12mo,1/1/13,1/1/14,male,01:43:00,0,0,1
267-12mo_01-01-2013_0207.wav,267-12mo,1/1/13,1/1/14,male,01:43:30,0,0,1
267-12mo_01-01-2013_0208.wav,267-12mo,1/1/13,1/1/14,male,01:44:00,0,0,1
267-12mo_01-01-2013_0209.wav,267-12mo,1/1/13,1/1/14,male,01:44:30,0,0,1
267-12mo_01-01-2013_0210.wav,267-12mo,1/1/13,1/1/14,male,01:45:00,0,0,1
267-12mo_01-01-2013_0211.wav,267-12mo,1/1/13,1/1/14,male,01:45:30,0,0,1
267-12mo_01-01-2013_0212.wav,267-12mo,1/1/13,1/1/14,male,01:46:00,0,0,1
267-12mo_01-01-2013_0213.wav,267-12mo,1/1/13,1/1/14,male,01:46:30,0,0,1
267-12mo_01-01-2013_0214.wav,267-12mo,1/1/13,1/1/14,male,01:47:00,0,0,1
267-12mo_01-01-2013_0215.wav,267-12mo,1/1/13,1/1/14,male,01:47:30,0,0,1
267-12mo_01-01-2013_0216.wav,267-12mo,1/1/13,1/1/14,male,01:48:00,0,0,1
267-12mo_01-01-2013_0217.wav,267-12mo,1/1/13,1/1/14,male,01:48:30,0,0,1
267-12mo_01-01-2013_0218.wav,267-12mo,1/1/13,1/1/14,male,01:49:00,0,0,1
267-12mo_01-01-2013_0219.wav,267-12mo,1/1/13,1/1/14,male,01:49:30,0,0,1
267-12mo_01-01-2013_0220.wav,267-12mo,1/1/13,1/1/14,male,01:50:00,0,0,1
267-12mo_01-01-2013_0221.wav,267-12mo,1/1/13,1/1/14,male,01:50:30,0,0,1
267-12mo_01-01-2013_0222.wav,267-12mo,1/1/13,1/1/14,male,01:51:00,0,0,1
267-12mo_01-01-2013_0223.wav,267-12mo,1/1/13,1/1/14,male,01:51:30,0,0,1
267-12mo_01-01-2013_0224.wav,267-12mo,1/1/13,1/1/14,male,01:52:00,0,0,1
267-12mo_01-01-2013_0225.wav,267-12mo,1/1/13,1/1/14,male,01:52:30,0,0,1
267-12mo_01-01-2013_0226.wav,267-12mo,1/1/13,1/1/14,male,01:53:00,0,0,1
267-12mo_01-01-2013_0227.wav,267-12mo,1/1/13,1/1/14,male,01:53:30,0,0,1
267-12mo_01-01-2013_0228.wav,267-12mo,1/1/13,1/1/14,male,01:54:00,0,0,1
267-12mo_01-01-2013_0229.wav,267-12mo,1/1/13,1/1/14,male,01:54:30,0,0,1
267-12mo_01-01-2013_0230.wav,267-12mo,1/1/13,1/1/14,male,01:55:00,0,0,1
267-12mo_01-01-2013_0231.wav,267-12mo,1/1/13,1/1/14,male,01:55:30,0,0,1
267-12mo_01-01-2013_0232.wav,267-12mo,1/1/13,1/1/14,male,01:56:00,0,0,1
267-12mo_01-01-2013_0233.wav,267-12mo,1/1/13,1/1/14,male,01:56:30,0,0,1
267-12mo_01-01-2013_0234.wav,267-12mo,1/1/13,1/1/14,male,01:57:00,0,0,1
267-12mo_01-01-2013_0235.wav,267-12mo,1/1/13,1/1/14,male,01:57:30,0,0,1
267-12mo_01-01-2013_0236.wav,267-12mo,1/1/13,1/1/14,male,01:58:00,0,0,1
267-12mo_01-01-2013_0237.wav,267-12mo,1/1/13,1/1/14,male,01:58:30,0,0,1
